,City,Temperature,Humidity,Pressure
0,Aachen,5.04,96,1026
1,Bamberg,4.13,93,1025
2,Berlin,5.06,89,1011
3,Bochum,5.84,93,1023
4,Bonn,5.86,94,1026
5,Darmstadt,5.66,80,1027
6,Dortmund,6.18,90,1026
7,Duisburg,6.22,96,1027
8,Düsseldorf,6.15,96,1027
9,Erfurt,5.27,89,1020
10,Erlangen,4.21,89,1024
11,Essen,5.84,92,1028
12,Gelsenkirchen,6.32,92,1025
13,Hagen,5.21,92,1026
14,Hamburg,2.95,92,1024
15,Heidelberg,4.36,92,1026
16,Karlsruhe,2.55,93,1027
17,Köln,6.08,93,1025
18,Leipzig,6.17,84,1020
19,Mannheim,5.17,88,1026
20,München,-0.2,94,1026
21,Nürnberg,3.95,89,1024
22,Oberhausen,6.17,96,1030
23,Osnabrück,6.68,73,1026
24,Solingen,5.03,85,1028
25,Stuttgart,2.13,92,1026
26,Ulm,-0.22,95,1021
27,Wuppertal,5.52,93,1028
28,Würzburg,5.01,85,1026
